_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
90ULKG,,,,,142.456,7.033602672,5.689855374260404,-1.8948380017427553,,3.6925869799999997,9.551816879002654,
90REEV,,,,,127.968,8.834453124,1.9104080480358117,-1.9133332365690876,,5.850723113999999,2.837753100606182,
90GTLY,,,,,148.072,7.02462291,10.474435845428621,-1.9156610630016075,,3.4128537880000014,14.718483510199006,
90NTBX,,,,,174.08,6.920675362000001,10.629699650977914,-1.8875123391080706,,4.452873495999999,8.631872665302703,
90UGTH,,,,,143.224,7.8793329839999995,3.7030971186292163,-1.8586188119988947,,5.107307665999997,6.4540757680709016,
90UIGY,,,,,112.456,10.40699993,2.2638836056652734,-2.080303067255045,,10.322644589999998,1.7468031543365155,
90YFKT,,,,,112.2,8.94438718,1.5413894251615974,-1.9784272591914487,,5.904329572,3.2806277280423024,
90ADAA,,,,,117.768,8.978673544,0.8453000414054171,-1.9851907342972481,,9.119356482,4.703739389039321,
90SPKU,,,,,90.064,10.667140914,0.6862603150408743,-2.1732208552248267,,11.160211482000001,2.6677261591100385,
90SZUS,,,,,98.552,9.995563562000001,2.2051265791332706,-2.21770703155471,,11.307969384000003,1.4771026978514392,
90NLBR,,,,,103.184,10.550676122000002,2.0138147357689085,-2.1361097030021483,,12.083766398000003,0.7136491715121653,
90HFSB,,,,,80.12,10.80972865,1.642840826130152,-2.263002502132622,,11.408379449999998,0.9529015216694745,
90BDXR,,,,,96.024,9.774334880000001,2.512400386084989,-2.1841589672594637,,9.452968246000003,1.1484642179885274,
90AGUM,,,,,107.2,10.930275151999998,4.074450007056167,-2.1571554351439772,,,,
90SACC,,,,,100.52,9.056770262,3.5737001021350405,-2.215551262812369,,6.808292280000002,0.0015329709716755892,
90IDMF,,,,,118.032,8.962346704000002,2.635556707794389,-2.038555582277695,,6.840673846000001,2.7644863899104295,
90RZOR,,,,,141.768,9.648890326,1.5772055731577923,-1.9249685590948502,,6.106238160000002,1.5077915505798538,
90DLGM,,,,,137.464,6.971288566000001,1.5254668072429503,-1.9286147234270175,,4.598182371999998,0.843650312629587,
